"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"August 3, 2016",Maryland,"Hyattsville (Landover)","6900 block of Forrest Terrace Drive",1,0,N/A
"August 2, 2016",Louisiana,Marrero,"2000 block of Fernando Court",1,0,N/A
"July 31, 2016",Louisiana,Thibodaux,"900 block of Burma Road",2,0,N/A
"July 31, 2016",Alabama,"Birmingham (Homewood)","1301 Lakeshore Dr.",1,0,N/A
"July 31, 2016",Texas,Houston,"300 block of De Haven St",1,0,N/A
"July 29, 2016",Texas,Conroe,"15596 N Fwy Service Road",2,0,N/A
"July 27, 2016",Florida,"Fort Lauderdale (Dania Beach)","W Dania Beach Blvd and SW 8th Ave",2,1,N/A
"July 27, 2016",Virginia,Fairfax,"Fairfax Hunt Road",2,0,N/A
"July 26, 2016",Utah,"Salt Lake City","561 N. Center Street",2,0,N/A
"July 26, 2016",Texas,Houston,"9700 block of Shady Tree Ln",1,0,N/A
"July 23, 2016",Texas,Bastrop,"202 Childers Drive",4,1,N/A
"July 20, 2016",Georgia,"Jones (county)","113 Horseshoe Bend Court",1,0,N/A
"July 18, 2016","South Carolina",Gaston,"2400 block of Glenn Road",1,0,N/A
"July 17, 2016",Louisiana,Sulphur,"Dahlia Lane",2,0,N/A
"July 17, 2016",Pennsylvania,Knoxville,"Zara Street",1,0,N/A
"July 17, 2016","South Carolina",Darlington,N/A,2,0,N/A
"July 16, 2016",Ohio,Cincinnati,"6200 block of Chandler Street",1,0,N/A
"July 15, 2016",Florida,"Port Orange","829 Hudson Lane",1,0,N/A
"July 14, 2016",Alabama,Leighton,"1500 block of Hwy 157",1,0,N/A
"July 14, 2016",Colorado,"Steamboat Springs",N/A,1,0,N/A
"July 14, 2016",Texas,Tahoka,"County Road Q",3,0,N/A
"July 11, 2016",Texas,"Marion (county)","Monica Drive",1,0,N/A
"July 8, 2016",California,"San Bernardino","2950 Del Rosa Avenue",3,0,N/A
"July 8, 2016",Arkansas,Beebe,"300 block of Spring Street",1,0,N/A
"July 8, 2016",Minnesota,Minneapolis,"Lowry Avenue N. and Penn Avenue N.",1,1,N/A
"July 5, 2016",California,Altadena,"300 block of Figueroa Drive",1,1,N/A
"July 3, 2016",Kentucky,Lowmansville,"July Drive",1,0,N/A
"July 2, 2016",Illinois,"Hazel Crest","2400 block of Crescent Drive",3,0,N/A
"July 2, 2016",California,Lemoore,"800 block of Dogwood Avenue",1,0,N/A
"July 1, 2016",Tennessee,Clarksville,"874 Samantha Lane",1,0,N/A
"June 29, 2016",Nevada,"Las Vegas","6100 block of West Lake Mead Boulevard",5,0,N/A
"June 28, 2016",Texas,"Aransas Pass","1700 block of West Highland Avenue",3,0,N/A
"June 25, 2016","New Jersey","East Orange","112 Norman Street",1,0,N/A
"June 23, 2016",Pennsylvania,Philadelphia,"1800 block of N 20th Street",1,0,N/A
"June 21, 2016",California,Fresno,"South First Street and East Platt Avenue",1,2,N/A
"June 20, 2016",Colorado,"Conejos (county)",N/A,1,0,N/A
"June 20, 2016",Missouri,"Kansas City","East 8th Street and The Paseo",1,0,N/A
"June 17, 2016",Iowa,Elgin,"210 Main Street",1,0,N/A
"June 12, 2016",Pennsylvania,Littlestown,"first block of James Avenue",2,1,N/A
"June 11, 2016","New Mexico",Roswell,"2300 block of Davis Ave",5,0,N/A
"June 4, 2016",Illinois,Chicago,"900 block of West 96th Street",1,0,N/A
"June 3, 2016",Ohio,Hillsboro,"Trenton Street",2,0,N/A
"June 3, 2016",Colorado,Aurora,"1575 Galena Street",1,0,N/A
"June 1, 2016",Texas,"San Antonio","800 block of Pecan Valley Drive",1,1,N/A
"June 1, 2016",Texas,"San Antonio","5500 block of San Fernando Street",1,1,N/A
"May 27, 2016",Alabama,Huntsville,"3300 block of Lockwood Court",1,0,N/A
"May 27, 2016","New York",Wallkill,"559 Fifth Avenue",3,0,N/A
"May 27, 2016",Indiana,"Indianapolis (Cumberland)","500 block of Wickerwood Drive",1,0,N/A
"May 26, 2016",Virginia,Roanoke,"2000 block of Carroll Avenue NW",1,0,N/A
"May 25, 2016",Michigan,Detroit,"16400 block of Fairmount",1,0,N/A
"May 25, 2016",Texas,"Wichita Falls",N/A,1,0,N/A
"May 24, 2016",Missouri,"Saint Louis","Hall St and Riverview Dr",1,0,N/A
"May 21, 2016",Louisiana,"La Place (Laplace)","19 Country Club Dr",1,0,N/A
"May 20, 2016",Illinois,Barry,"186 E 2700th St",1,0,N/A
"May 20, 2016",Alabama,Horton,"Welcome Home Church Road",1,0,N/A
"May 17, 2016",Texas,Bellevue,"4700 block of Buffalo Springs Road",1,0,N/A
"May 17, 2016","South Carolina",Ravenel,"5360 Savannah Highway",3,1,N/A
"May 12, 2016",Ohio,Hilliard,"5100 block of Scioto Darby Road",1,0,N/A
"May 10, 2016",Michigan,Detroit,"19700 block of Oakfield Street",1,0,N/A
"May 6, 2016","North Carolina",Lillington,"Cherry Hill Drive",3,0,N/A
"May 6, 2016",Hawaii,Pahoa,"Moku St",3,0,N/A
"May 5, 2016",Wisconsin,Milwaukee,"North 15th Street and West Meinecke Avenue",1,0,N/A
"May 1, 2016",Indiana,Indianapolis,"Gale and Vermont",1,0,N/A
"April 27, 2016",Wisconsin,"Wisconsin Rapids","440 11th Street South",3,0,N/A
"April 27, 2016",Missouri,"Villa Ridge","200 block of Maple Lake Court",1,0,N/A
"April 26, 2016",Georgia,Dallas,"Camp Circle and Dallas Acworth Highway",1,0,N/A
"April 25, 2016",Georgia,"Locust Grove","3300 block of Bill Gardner Parkway",3,0,N/A
"April 22, 2016",Louisiana,Natchitoches,"600 block of Sabine Alley",1,0,N/A
"April 21, 2016",Missouri,"Kansas City","2600 block of Lawn Avenue",1,0,N/A
"April 21, 2016",Missouri,"Lowry City","E. 7th Street",2,0,N/A
"April 20, 2016",Indiana,Indianapolis,"5200 block of Alameda Road",1,0,N/A
"April 19, 2016",Texas,Katy,"1318 Longdraw Drive",4,0,N/A
"April 18, 2016",Florida,Deltona,"Interstate 4",3,0,N/A
"April 16, 2016",Michigan,Detroit,"Winthrop Street",1,0,N/A
"April 16, 2016",Pennsylvania,Philadelphia,"200 block of E. Mayfield Street",1,0,N/A
"March 27, 2016",Michigan,Detroit,"16800 block of Riverview",1,2,N/A
"March 23, 2016",California,Oceanside,"4640 Greenhill Way",3,0,N/A
"March 21, 2016",Texas,Sherman,"2600 block of Rivercrest Drive",4,0,N/A
"March 20, 2016",Kentucky,Louisville,"13120 Saratoga Springs Place",4,0,N/A
"March 20, 2016",Illinois,"Chicago (Englewood)","6700 block of S. Aberdeen St.",1,0,N/A
"March 11, 2016",Montana,Bozeman,"341 Golden Trout Way",3,0,N/A
"March 11, 2016",Georgia,Norcross,"4900 block of Appaloosa Trail",1,0,N/A
"March 10, 2016",Mississippi,Vicksburg,"600 block of Fort Hill Drive",1,0,N/A
"March 6, 2016",Montana,Roundup,N/A,2,0,N/A
"March 4, 2016",Ohio,Columbus,"900 E 5th Ave",1,3,N/A
"March 1, 2016",Florida,Sanford,"Highlawn Avenue",1,0,N/A
"February 29, 2016",Tennessee,Apison,"4724 Gates Lane",1,0,N/A
"February 26, 2016",Indiana,Sunman,"Van Wedding Road",1,0,N/A
"February 25, 2016","North Carolina",Goldsboro,"Sevendales Drive",1,0,N/A
"February 23, 2016",Arizona,Glendale,"4812 West Sunnyside Ave",5,0,N/A
"February 21, 2016",Florida,Fountain,"11601 Nonawood Road",1,0,N/A
"February 20, 2016",Florida,Miami,"1225 NE 103rd Lane",1,0,N/A
"February 19, 2016",Missouri,Edgerton,"4100 block of Buena Vista Road",4,0,N/A
"February 17, 2016",Indiana,Zionsville,"6833 Old Hunt Club Rd",3,0,N/A
"February 16, 2016","New Hampshire",Durham,N/A,1,0,N/A
"February 16, 2016",Texas,Lubbock,"2538 71st St",1,0,N/A
"February 12, 2016",Texas,Kerrville,"2500 block of Goat Creek Road",3,0,N/A
"February 9, 2016","New York",Latham,"35 Schalren Drive",3,0,N/A
"February 9, 2016",California,Compton,"300 block of Holly Avenue",1,0,N/A
"February 6, 2016",Alabama,"Birmingham (Irondale)","2359 Monroe Dr",1,0,N/A
"February 2, 2016",Maryland,"Fort Washington","1300 block of Palmer Road",2,0,N/A
"February 1, 2016",Alaska,"Wasilla (Meadow Lake)","4600 block of North Autumn Lane",2,0,N/A
"January 30, 2016",Maryland,Baltimore,"400 block of N. Athol Avenue",1,0,N/A
"January 29, 2016",Florida,Jacksonville,"700 block of Spearing Street",1,0,N/A
"January 25, 2016",Tennessee,Crossville,"2009 N Main St",1,0,N/A
"January 23, 2016",Alaska,"Iliamna (Kokhanok)",N/A,1,0,N/A
"January 22, 2016",Wisconsin,Beloit,"Shopiere Road and Prairie Avenue",1,0,N/A
"January 20, 2016",Michigan,Flint,"1300 block of Columbia Lane",1,0,N/A
"January 20, 2016",Louisiana,"New Orleans","5600 block of Red Maple Drive",1,0,N/A
"January 19, 2016",Oklahoma,Anadarko,N/A,1,0,N/A
"January 19, 2016",Texas,Cypress,"15400 block of Redbud Berry Way",1,0,N/A
"January 16, 2016",Missouri,Carthage,"5920 Stone Hill Loop",3,0,N/A
"January 14, 2016",Ohio,Dayton,"4700 block of Queens Avenue",1,2,N/A
"January 11, 2016",Illinois,Alton,"3116 Acorn Street",1,0,N/A
"January 10, 2016","North Carolina",Lumberton,"2200 block of Martin Luther King Jr. Drive",1,0,N/A
"January 9, 2016",Kentucky,Louisville,"400 block of N. 34th Street",1,0,N/A
"January 6, 2016",Georgia,Buford,"1800 block of Beyers Landing Drive",2,0,N/A
"January 4, 2016",Colorado,Trinidad,"806 E. Goddard Avenue",1,0,N/A
"January 1, 2016",Wisconsin,Cudahy,"3700 block of E. Whittaker Ave",2,0,N/A
"December 28, 2015",Alaska,Bethel,N/A,1,0,N/A
"December 27, 2015",Florida,Miami,"15100 block of Jackson Street",1,0,N/A
"December 27, 2015",Michigan,Detroit,"1600 block of Steel Street",1,1,N/A
"December 25, 2015","North Carolina","Chapel Hill","700 block of Trinity Court",1,0,N/A
"December 25, 2015","New Jersey",Edgewater,"100 Tower Drive",3,0,N/A
"December 23, 2015",Arizona,Tucson,"5751 N. Kolb Rd",3,0,N/A
"December 21, 2015",Missouri,"Saint Louis","1600 block of Emerald Creek Drive",1,0,N/A
"December 14, 2015",Arizona,Kayenta,N/A,3,0,N/A
"December 11, 2015",Tennessee,"Estill Springs","100 block of Honey Lane",1,0,N/A
"December 11, 2015",Kansas,"South Hutchinson","107 East Avenue B",1,0,N/A
"December 9, 2015",Texas,Dallas,"4900 block of South Buckner Boulevard",1,0,N/A
"December 7, 2015",Tennessee,Cleveland,"Hillview Drive NW",2,0,N/A
"December 6, 2015",Nebraska,Omaha,"North 108th Street and Military Road",2,3,N/A
"December 4, 2015",Utah,"Spanish Fork (Lake Shore)",N/A,1,0,N/A
"December 3, 2015",Michigan,Taylor,"13333 Telegraph Road",2,1,N/A
"November 28, 2015","New York",Rome,"519 West Dominick",1,0,N/A
"November 28, 2015",Georgia,Atlanta,"1041 Martin Street SE",1,0,N/A
"November 23, 2015",Ohio,Columbus,"90 block of S. Terrace Avenue",4,1,N/A
"November 21, 2015",Tennessee,Goodlettsville,"452 Moss Trail",1,0,N/A
"November 18, 2015",Arkansas,"Little Rock","3401 Lamar Street",1,0,N/A
"November 18, 2015",California,Bakersfield,"4300 block of Palmacia Drive",1,1,N/A
"November 17, 2015",Arkansas,Benton,"Nelson Court",1,0,N/A
"November 15, 2015","South Carolina","Rock Hill","Amelia Avenue",1,0,N/A
"November 15, 2015",Texas,"Tennessee Colony","800 block of County Road 2217",5,0,N/A
"November 13, 2015",Florida,Jacksonville,"1300 block of South Shirley Oaks Drive",4,1,N/A
"November 11, 2015",Georgia,Jackson,"500 block of Carr Avenue",1,0,N/A
"November 9, 2015",Michigan,Detroit,"6600 block of Barton Street",1,0,N/A
"November 7, 2015",Ohio,Dayton,"200 block of East Bruce Avenue",1,0,N/A
"November 6, 2015",Texas,Houston,"7800 block of Elvera",2,0,N/A
"November 4, 2015",Kentucky,Owensboro,"2742 Western Pkwy",1,0,N/A
"November 3, 2015",Louisiana,Marksville,"Martin Luther King Drive",1,1,N/A
"November 1, 2015",Pennsylvania,"Pittsburgh (Mount Oliver)","Hays Avenue",1,1,N/A
"October 27, 2015",Georgia,Acworth,"1059 Athena Court",1,0,N/A
"October 26, 2015","North Carolina",Hendersonville,"158 Golden Eagle Way",1,0,N/A
