"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"July 24, 2017",Montana,"Gallatin (county)",N/A,0,1,N/A
"July 22, 2017",Pennsylvania,Chester,"3400 block of Township Line Rd",0,1,N/A
"July 21, 2017",Missouri,"Kansas City","23rd and Poplar",0,1,N/A
"July 21, 2017",Ohio,Toledo,"800 Block of Belmont Ave",0,2,N/A
"July 19, 2017",Illinois,Chicago,"5500 block of W Van Buren",0,3,N/A
"July 19, 2017",California,Coalinga,"700 block of E Valley St",0,1,N/A
"July 19, 2017",Texas,Gainesville,"1300 block of E Garnett",0,1,N/A
"July 19, 2017",Virginia,Norfolk,"200 block of Nicholson St",0,2,N/A
"July 18, 2017",Wisconsin,Milwaukee,"3000 Block of N 39th St",0,4,N/A
"July 17, 2017",Mississippi,Jackson,"Greenview Drive",0,1,N/A
"July 16, 2017",Florida,Jacksonville,"5100 block of Doncaster Ave",0,1,N/A
"July 15, 2017",Florida,Tallahassee,"2700 block of W Tharpe St",0,1,N/A
"July 14, 2017",Texas,"San Antonio","5900 block of Lake Superior Street",0,3,N/A
"July 13, 2017",Ohio,Cleveland,"Cedar Ave and E 22nd St",0,3,N/A
"July 13, 2017",Indiana,Indianapolis,"46th Street and Keystone Ave",0,1,N/A
"July 12, 2017",Louisiana,"New Orleans","8500 block of Chef Menteur Hwy",0,2,N/A
"July 12, 2017","New York",Bronx,"390 E 167 St",0,1,N/A
"July 12, 2017",Kansas,Wichita,"W 3rd St N and N Doris St",0,1,N/A
"July 11, 2017",Kansas,Lenexa,"9775 Lenexa Dr",0,1,N/A
"July 10, 2017","District of Columbia",Washington,"1300 block of I Street NE",0,1,N/A
"July 10, 2017",Virginia,"Newport News","2200 block of Jefferson Ave",0,1,N/A
"July 9, 2017","South Carolina",Walterboro,N/A,0,1,N/A
"July 8, 2017",Colorado,Denver,"5100 block of N Titan Ct",0,3,N/A
"July 8, 2017",Illinois,Markham,"16053 Richmond Ave",0,2,N/A
"July 8, 2017","New Jersey",Newark,"Central Ave and 3rd St",0,3,N/A
"July 8, 2017",Ohio,Cincinnati,"9917 Capstan Dr",1,8,N/A
"July 6, 2017",Iowa,"Des Moines","2900 Dean Avenue",0,1,N/A
"July 6, 2017",Texas,Concan,"234 RR 1050",0,3,N/A
"July 6, 2017",Ohio,Akron,"1000 block of Lexington Ave",0,1,N/A
"July 5, 2017",Tennessee,Memphis,"3700 block of Blue Jay Rd",0,1,N/A
"July 5, 2017",Florida,"West Palm Beach","113 Tiffany Palm Dr E",0,1,N/A
"July 5, 2017",Ohio,Columbus,"420 block of Mayfair Blvd",0,2,N/A
"July 4, 2017",Ohio,Columbus,"1400 block of Republic Ave",0,1,N/A
"July 4, 2017",Florida,"Orlando (Pine Castle)","501 W Lancaster Rd",0,4,N/A
"July 4, 2017",Ohio,Cleveland,"W 73rd St and US 20",0,1,N/A
"July 4, 2017",Florida,"Fort Lauderdale",N/A,0,1,N/A
"July 2, 2017",Louisiana,"New Orleans","I-10 and Read Blvd",0,3,N/A
"July 2, 2017",Texas,Lamesa,"600 block of County Rd L",0,1,N/A
"July 2, 2017",Michigan,"Muskegon (Muskegon Heights)","Ivory Avenue",1,1,N/A
"July 2, 2017",Arkansas,"Little Rock","W 32nd St and Irving Dr",0,2,N/A
"July 1, 2017",Illinois,Chicago,"2100 block of N Pulaski",0,1,N/A
"June 30, 2017",Tennessee,Memphis,"700 block of Dagan Cove",0,2,N/A
"June 29, 2017","South Carolina",Beaufort,"Noye Wiggins Drive",0,1,N/A
"June 29, 2017",Missouri,"Saint Louis","Hodiamont Ave and Page Blvd",0,1,N/A
"June 29, 2017",Florida,Jacksonville,"2900 block of W 45th St",0,1,N/A
"June 28, 2017",Louisiana,Shreveport,"Jewella Ave and Del Rio St",0,3,N/A
"June 28, 2017",Colorado,"Commerce City","9726 Nucla St",0,1,N/A
"June 27, 2017",Arkansas,"Little Rock","12th St and Washington St",0,1,N/A
"June 26, 2017",Maine,Winn,N/A,0,1,N/A
"June 26, 2017",Ohio,Lima,"1400 block of Ridge Run Circle",0,1,N/A
"June 26, 2017",Mississippi,Greenwood,"400 Block of Kinney St",0,1,N/A
"June 25, 2017",Georgia,Newnan,"Reynolds Street",0,2,N/A
"June 25, 2017",Missouri,"Kansas City","5852 E 20th St",0,1,N/A
"June 25, 2017",Massachusetts,Boston,"154 Heath St",0,1,N/A
"June 25, 2017",Florida,Tallahassee,"Putnam Dr and Texas St",0,1,N/A
"June 22, 2017",Ohio,Columbus,"Atcheson St",0,1,N/A
"June 22, 2017",Virginia,Richmond,"U St and N 22nd St",0,2,N/A
"June 22, 2017",Georgia,Ludowici,"Norton Street",0,1,N/A
"June 21, 2017",Texas,Beaumont,"4500 block of Harding Rd",1,1,N/A
"June 19, 2017",Indiana,Gary,"4300 block of W 19th Ave",0,1,N/A
"June 19, 2017",Texas,Beaumont,"1400 block of Pipkin Street",0,1,N/A
"June 19, 2017",Minnesota,"Saint Paul","200 block of W Maryland Ave",0,3,N/A
"June 19, 2017",Indiana,Gary,"W 21st Ave and Chase St",0,1,N/A
"June 19, 2017",Georgia,Columbus,"5800 block of Windham Ct",0,1,N/A
"June 18, 2017",Maryland,Baltimore,"1200 block of E Eager St",0,1,N/A
"June 17, 2017",Mississippi,Jackson,"Daniel Cir and Revere St",0,1,N/A
"June 17, 2017","New York","Staten Island","Deisius St",0,1,N/A
"June 17, 2017",Florida,"Miami Gardens","17612 NW 25 Ave",0,1,N/A
"June 17, 2017",Florida,Orlando,"372 N. Pine Hills Road",0,1,N/A
"June 16, 2017",Illinois,Chicago,"9239 S Jeffery Ave",0,2,N/A
"June 13, 2017",Kentucky,Lexington,"858 Carneal Road",0,1,N/A
"June 13, 2017",Missouri,"Saint Louis (University City)","Ferguson Ave and Plymouth Ave",0,4,N/A
"June 8, 2017",Tennessee,Chattanooga,"Windsor St",0,1,N/A
"June 8, 2017",Kentucky,Covington,"616 Welsh Dr",1,2,N/A
"June 8, 2017",Louisiana,"New Orleans","3650 Franklin Ave",0,6,N/A
"June 7, 2017",California,Compton,"Compton Boulevard and Lime Avenue",0,1,N/A
"June 6, 2017",Louisiana,Eunice,"400 Block of E Maple Ave",0,1,N/A
"June 6, 2017",Delaware,Wilmington,"700 block of E 6th St",0,1,N/A
"June 6, 2017",Utah,Sandy,"2232 Alta Canyon Drive",3,2,N/A
"June 6, 2017","North Dakota",Max,N/A,0,1,N/A
"June 5, 2017","New York",Bronx,"1138 Washington Ave",0,1,N/A
"June 3, 2017",Colorado,"Colorado Springs","4312 Driftwood Drive",0,1,N/A
"June 2, 2017",Nevada,"Las Vegas","4801 Spencer St",0,2,N/A
"June 2, 2017",Indiana,Anderson,"Killbuck Trace",0,1,N/A
"June 1, 2017",Illinois,"Chicago (Englewood)","56th and Green",0,1,N/A
"June 1, 2017",Missouri,"Saint Louis","Beacon Ave and Lillian Ave",3,1,N/A
"May 31, 2017",Florida,"Fort Myers",N/A,0,1,N/A
"May 31, 2017",Tennessee,Memphis,"Sharpe Ave and Semmes St",0,2,N/A
"May 30, 2017",Louisiana,"New Orleans","I-10 and Poydras Street",0,3,N/A
"May 29, 2017",Florida,"Saint Petersburg","2336 17th Ave S",0,1,N/A
"May 29, 2017",Ohio,Cincinnati,"100 block of Craft Street",0,2,N/A
"May 27, 2017",Wisconsin,Milwaukee,"62nd and Kaul",0,2,N/A
"May 27, 2017",Oklahoma,Yukon,"800 block of Dana Drive",0,1,N/A
"May 27, 2017",Florida,Jacksonville,"6300 block of North Raw Hyde Trail",1,2,N/A
"May 27, 2017",Wisconsin,Milwaukee,"6535 W Keefe Avenue",0,2,N/A
"May 26, 2017",Pennsylvania,"Wilkes Barre","Arch St",0,1,N/A
"May 26, 2017",Virginia,"Newport News","700 block of 35th Street",0,2,N/A
"May 24, 2017",Florida,Deland,"700 block of East Carolina Avenue",0,1,N/A
"May 24, 2017",Wisconsin,Milwaukee,"47th and Brentwood",1,1,N/A
"May 23, 2017",Louisiana,"New Orleans","1500 block of Freret St",0,2,N/A
"May 23, 2017",Wisconsin,Milwaukee,"36th and Townsend",0,1,N/A
"May 23, 2017",Virginia,"Newport News",N/A,0,1,N/A
"May 22, 2017",Oregon,Gresham,"1304 NE 183rd Ave",0,2,N/A
"May 22, 2017",Texas,Houston,"Mullins Dr and Beechnut St",0,1,N/A
"May 22, 2017",Texas,"San Angelo","700 block of E. Harris",0,1,N/A
"May 21, 2017",Georgia,Atlanta,"250 Stafford Street",0,1,N/A
"May 21, 2017",California,Oakland,"2700 block of Fruitvale Ave",0,1,N/A
"May 20, 2017",Virginia,Hampton,"500 block of Smiley Rd",0,1,N/A
"May 20, 2017",Georgia,Norcross,"Marshes Glenn Dr",0,1,N/A
"May 20, 2017",Illinois,Chicago,"2500 block of W 69th",0,1,N/A
"May 20, 2017",Missouri,"Saint Louis","W Florissant Ave and Beacon Ave",0,1,N/A
"May 19, 2017",Pennsylvania,Philadelphia,"3300 block of Malta St",0,2,N/A
"May 19, 2017",Georgia,Atlanta,"1700 block of Richmond Circle SE",0,1,N/A
"May 17, 2017",Iowa,"Sioux City","400 block of W 3rd St",0,1,N/A
"May 17, 2017",Tennessee,Nashville,"701 S 7th St",0,1,N/A
"May 17, 2017",Maryland,Baltimore,"600 block of Denison Street",0,1,N/A
"May 17, 2017",California,Madera,N/A,0,1,N/A
"May 17, 2017",Florida,Jacksonville,"Whisper Glen Drive North",0,1,N/A
"May 17, 2017",Michigan,Detroit,"16100 block of Maddelein Street",0,2,N/A
"May 16, 2017",Missouri,"Saint Louis","4900 block of San Francisco Ave",0,1,N/A
"May 16, 2017",Tennessee,Antioch,"1382 Rural Hill Rd",0,3,N/A
"May 16, 2017","South Carolina",Ruffin,"21785 Lowcountry Hwy",3,1,N/A
"May 15, 2017",Texas,Houston,"2900 block of Bringhurst Dr",0,1,N/A
"May 15, 2017",Louisiana,"Lake Charles (Moss Bluff)","215 School St",0,1,N/A
"May 15, 2017",Oklahoma,"Oklahoma City","2509 SE 51st St",0,1,N/A
"May 14, 2017",Florida,Jacksonville,"8500 Block of Vining St",0,1,N/A
"May 14, 2017",Texas,Houston,"9230 Saint Lo",0,1,N/A
"May 14, 2017","North Carolina",Durham,"4200 block of Garrett Rd",0,1,N/A
"May 13, 2017",Ohio,Cleveland,"1000 Block of E 71st St",0,1,N/A
"May 12, 2017",Tennessee,Antioch,"Cane Ridge Road",0,1,N/A
"May 11, 2017","New Jersey",Trenton,"100 block of Exton Ave",0,1,N/A
"May 10, 2017",Michigan,Flint,"1800 block of Milbourne Avenue",0,2,N/A
"May 10, 2017",Georgia,Atlanta,"1425 Joseph E Boone Blvd NW",0,1,N/A
"May 9, 2017","South Carolina",Gaffney,"Kraft St",0,1,N/A
"May 8, 2017",Alabama,Birmingham,"1400 block of Hugh Denman Drive",0,1,N/A
"May 8, 2017",Texas,"San Antonio","300 block of Charcliff Dr",0,1,N/A
"May 7, 2017",California,Stockton,"702 N California St",0,1,N/A
"May 7, 2017",Georgia,Perry,"Gaines Dr",0,1,N/A
"May 6, 2017",Tennessee,Cleveland,"Benton Pike",0,1,N/A
"May 6, 2017",Ohio,Cincinnati,"517 block of Forest Av",0,1,N/A
"May 6, 2017","New Jersey","New Brunswick","33 Commercial Ave",0,2,N/A
"May 5, 2017",Maine,Hollis,N/A,0,2,N/A
"May 5, 2017",Tennessee,Clarksville,"200 block of Caldwell Lane",0,2,N/A
"May 5, 2017",Louisiana,Houma,"3600 block of Thomas Drive",0,1,N/A
"May 2, 2017",Pennsylvania,Lehman,"500 block of Wales Ct",0,1,N/A
"May 1, 2017",Michigan,Detroit,"2900 block of Monterey",0,1,N/A
"April 30, 2017",Virginia,Norfolk,"800 block of 38th St",0,2,N/A
"April 28, 2017",California,Bakersfield,"5600 block of Monitor St",0,1,N/A
"April 28, 2017",Virginia,Danville,"100 block of Motley Avenue",0,2,N/A
"April 26, 2017",Kentucky,Louisville,"1027 W. Jefferson Street",0,1,N/A
"April 25, 2017",Nevada,"Las Vegas","370 E Harmon Ave",0,1,N/A
